gene,chromosome,start_position,end_position
GPR179,17,38324571,38343956
NLRP4,19,55836540,55881855
KRTAP13-3,21,30425380,30425926
HOXB3,17,48548870,48604912
ODAM,4,70195706,70205734
RBMXL1,1,88979456,88992960
EBF1,5,158695920,159099951
SPIC,12,101475336,101486997
OR51B2,11,5323359,5324297
ACTC1,15,34790107,34795912
C4orf50,4,5897373,6200555
MEA1,6,43011143,43016868
TMED9,5,177592195,177597242
KCNK17,6,39298998,39314461
OR1D2,17,3088484,3104422
C22orf42,22,32149006,32159322
MAST4,5,66596380,67169593
CAMKK2,12,121237675,121298308
ACOT13,6,24666921,24705065
SULT1A1,16,28605008,28612503
CLEC4M,19,7763153,7769606
NAA30,14,57390544,57415906
RPL23,17,38847860,38868644
DCXR,17,82035136,82037776
TNFAIP2,14,103121407,103137441
MUSTN1,3,52833114,52835019
IL2RG,X,71107404,71112108
AP3M2,8,42152946,42171673
OR10Q1,11,58227882,58228918
DNAH17,17,78423697,78577396
ZNF628,19,55476617,55484487
CCDC191,3,113964137,114056594
POLR3K,16,46407,53658
DEFB119,20,31377164,31390590
LLGL2,17,75525080,75575215
FUNDC2,X,155025980,155060304
POGK,1,166839314,166860347
APLP1,19,35867899,35879803
EIF3K,19,38619055,38636959
DZIP1L,3,138061987,138115839
PKNOX1,21,42974328,43034475
PLCH2,1,2425980,2505532
CXCL5,4,73995642,73998677
PYHIN1,1,158930796,158977059
IRF2BP2,1,234602300,234610178
CDH13,16,82626965,83800640
ARF1,1,228081841,228099212
KRT34,17,41377669,41382306
MON1A,3,49907160,49930173
IGDCC4,15,65381479,65423083
VASH2,1,212950520,212992838
AK9,6,109492855,109691217
NOL4L,20,32443059,32585333
KRT25,17,40748021,40755331
SPHK2,19,48619291,48630717
SPTA1,1,158610704,158686715
AP5M1,14,57268504,57298742
FBXO33,14,39397684,39432466
CAST,5,95962001,96631085
MFAP2,1,16974498,16981616
CSRP3,11,19176519,19210571
SOS2,14,50117130,50231906
EXOC1L,4,55819790,55837489
CHD1,5,98853985,98929007
EBP,X,48521089,48528716
FAT3,11,92224818,92896473
SOCS7,17,38351844,38405593
TRAF4,17,28744011,28750956
OR1N1,9,122526358,122527293
MOB1B,4,70902326,71022449
PDIA2,16,283152,287215
AGTR2,X,116170744,116174974
YBEY,21,46286336,46297811
SLC2A10,20,46709577,46736347
NLRC3,16,3539033,3577403
ATF2,2,175072250,175168382
ITFG2,12,2812622,2859791
BST2,19,17402933,17405665
SEC22A,3,123201859,123274136
GREB1,2,11482341,11642789
MBOAT2,2,8852690,9003747
RIMS2,8,103500610,104254430
LRMDA,10,75431624,76560168
FAXDC2,5,154818492,154859252
TTYH1,19,54415219,54436904
BNIP3L,8,26383037,26505636
JUN,1,58776845,58784048
TRIM6-TRIM34,11,5596725,5644398
RPS4X,X,72255679,72277312
EIF3I,1,32221077,32245397
TRPC5,X,111768011,112082776
SF3B4,1,149923317,149927803
TNFRSF25,1,6460786,6466181
PWP2,21,44107358,44131181
ZNF790,19,36816904,36850787
HLCS,21,36748626,36990236
SEMA6C,1,151131685,151147813
RRH,4,109827972,109849123
GNG2,14,51826195,51979342
CDKN3,14,54396849,54420218
ARHGAP4,X,153907367,153934999
NMRAL1,16,4461684,4495763
COX15,10,99710868,99732160
UTP14A,X,129906121,129929761
CHD1L,1,147242643,147295767
PPP1R35,7,100435282,100436497
NDUFS1,2,206114817,206159522
BCL7A,12,122019422,122062044
BORCS6,17,8188345,8190180
KAT2A,17,42113111,42121382
KLRD1,12,10226058,10329608
SRPRB,3,133784023,133825772
H1-7,12,48328980,48330279
CT45A5,X,135775852,135785503
CLCN7,16,1444934,1475104
STARD4,5,111495551,111512590
EPHA10,1,37713880,37765133
MAGEA8,X,149881141,149885835
TNFAIP8L2,1,151156621,151160255
MBNL1,3,152243828,152465781
DIXDC1,11,111927144,112022653
FMC1,7,139339457,139346328
EMX2,10,117542445,117549546
RPGRIP1L,16,53598153,53703938
NSD3,8,38269704,38382279
ZNF735,7,64207203,64220290
IL34,16,70579878,70661556
CPT1C,19,49690898,49713731
LMF1,16,853634,981318
PAPSS2,10,87659613,87747708
ABCC4,13,95019835,95301822
RAB11A,15,65726054,65891989
CNDP2,18,74494112,74523557
KIAA1958,9,112486827,112669397
TRIAP1,12,120443958,120446412
CCDC178,18,32937402,33441101
IL11RA,9,34651582,34661902
RNASE10,14,20505537,20513884
DPYSL2,8,26514031,26658178
SCN3A,2,165087526,165204050
USP16,21,29024629,29054493
ONECUT3,19,1753506,1780988
RNF151,16,1966823,1968975
PLET1,11,112248153,112260860
PRR15L,17,47950851,47960483
GSX1,13,27792483,27794768
TCEAL8,X,103252863,103255204
TDRP,8,489803,545781
EDC3,15,74630557,74696292
ENDOU,12,47709734,47725567
ROMO1,20,35699254,35700984
CIART,1,150282543,150287093
IARS1,9,92210207,92293854
ST8SIA3,18,57352557,57371731
CYCS,7,25118656,25125266
GOLGA6C,15,75258334,75273455
SUCLA2,13,47745736,48037968
TNS4,17,40475828,40501627
GPC4,X,133300103,133416214
POP4,19,29606283,29617237
ZNF493,19,21397119,21427577
FAM83H,8,143723933,143740732
CASK,X,41514934,41923660
NPC2,14,74476192,74494177
CCDC192,5,127703361,127941507
ITGA7,12,55684568,55716404
ABCG8,2,43831942,43882988
PRIMPOL,4,184648461,184694963
CSGALNACT1,8,19404156,19758029
NCOA5,20,46060985,46089962
EDEM2,20,35115360,35147358
NSUN6,10,18545561,18659285
FOXJ2,12,8032698,8055522
PGLYRP1,19,46019153,46023053
KRT36,17,41486136,41492546
TEX22,14,105398525,105450106
PXDC1,6,3722614,3751713
DCTD,4,182890060,182917936
ZNF605,12,132918306,132956306
ELOA,1,23743448,23762059
FUS,16,31180134,31196963
BAD,11,64269828,64291946
TBC1D15,12,71839707,71927248
ZNF652,17,49289206,49362473
C1orf174,1,3889125,3900293
ADAT1,16,75596868,75623300
TFIP11,22,26490988,26512505
IQCF6,3,51778561,51779241
F13A1,6,6144080,6321013
CEP85L,6,118460772,118710075
ECSCR,5,139446541,139462745
TRAPPC1,17,7930345,7932123
NUDT19,19,32691821,32713792
PSME2,14,24143362,24147570
CGNL1,15,57375967,57550729
TMEM91,19,41350911,41384083
SCN4A,17,63938554,63972918
WNT2,7,117275451,117323152
IVNS1ABP,1,185292931,185317780
ELP6,3,47495640,47513712
PLEKHO2,15,64839231,64868002
NACA,12,56712305,56731628
PCP2,19,7631611,7633719
ZNF326,1,89995110,90035533
OR2AT4,11,75081753,75096876
TBC1D31,8,123041968,123152154
WDPCP,2,63119559,63827843
TUSC1,9,25676969,25678444
APEX2,X,55000331,55009057
HASPIN,17,3723903,3726699
INPP5D,2,233059967,233207903
EPGN,4,74308470,74316789
MXRA7,17,76672551,76711004
OR52N2,11,5808911,5821492
GYPA,4,144109303,144140751
TBC1D3H,17,36377531,36388435
PCDHB16,5,141182387,141186226
LRRC27,10,132332154,132381508
ACSM2B,16,20536226,20576442
OR52E6,11,5840928,5841952
CPSF7,11,61402641,61430105
TIPARP,3,156673235,156706770
BMP10,2,68860909,68871397
RAB4B,19,40778195,40798690
IFITM2,11,303655,309397
DSCC1,8,119833944,119855987
MSRB3,12,65278643,65491430
SNTB2,16,69187142,69309052
PSPN,19,6375148,6379058
CALCOCO1,12,53708517,53727745
SBNO1,12,123289109,123365184
NME7,1,169132531,169367948
ZNF205,16,3112550,3120527
LPIN3,20,41340786,41360583
TAS2R19,12,11021619,11022620
HTRA2,2,74529596,74533350
ZNF669,1,247099962,247104372
NAT1,8,18170399,18223739
KCNMB1,5,170374671,170389655
WDFY4,10,48684873,48982959
STIMATE,3,52836219,52897578
BCKDHA,19,41397793,41425005
RUFY1,5,179550542,179610012
TRIM23,5,65589690,65625975
CANX,5,179678628,179731641
ELANE,19,850951,856247
FAM171B,2,186694019,186765959
APOB,2,21001429,21044073
MAGOHB,12,10604190,10613609
JPH3,16,87601835,87698156
PCDH9,13,66302834,67230445
NIT1,1,161118082,161125445
MAMLD1,X,150361422,150514178
CAPNS2,16,55566684,55567687
IQCJ-SCHIP1,3,158962235,159897358
SERTM2,X,111511645,111522399
ZNF705B,8,7926337,7952413
TIAM1,21,31117985,31559977
GABRR3,3,97985102,98035315
BTRC,10,101354033,101557321
LIG1,19,48115445,48170654
UNC5A,5,176810505,176880898
ZNF22,10,45000293,45005329
CBL,11,119206298,119313926
EPOR,19,11377207,11384343
MAPK8,10,48306639,48439360
CCDC112,5,115267190,115296756
FHDC1,4,152935887,152979697
PGM2,4,37826660,37863028
ERICH2,2,170766878,170798977
ZBTB25,14,64449106,64505232
RRP15,1,218285290,218337983
TEX13C,X,125319871,125325216
DPH6,15,35217345,35546193
KPNA1,3,122421902,122514947
ING2,4,183505058,183512429
SPATA32,17,45254393,45262094
MEFV,16,3240392,3256954
USP26,X,133023168,133097109
SPATA17,1,217631324,217871696
PAXX,9,136992403,136994074
CTSH,15,78921058,78949574
ATXN7L3B,12,74537835,74545430
KLHL28,14,44924324,45042322
LIPH,3,185506262,185552617
ARHGAP21,10,24583609,24723887
MAPT,17,45894358,46028334
SYNPO2L,10,73644881,73663803
KRT23,17,40922700,40937646
SIPA1L1,14,71320277,71741230
RAD52,12,910870,990053
HEATR5A,14,31290636,31420607
CST5,20,23875934,23880081
RXYLT1,12,63779833,63809792
TMEM120A,7,75986831,75994656
ALG9,11,111782195,111872405
LAMTOR2,1,156054738,156058510
VGLL4,3,11556069,11771350
C3orf80,3,160225422,160228213
ITGA2,5,52989320,53094779
MYOCD,17,12665890,12768949
TIMM10,11,57528406,57531031
BIVM-ERCC5,13,102799110,102875994
PAQR3,4,78887127,78939438
MCCC2,5,71579531,71658706
PRKACA,19,14091688,14118084
RGPD1,2,86913783,87013976
ZNF107,7,64666099,64711577
ANTXRL,10,46286345,46330727
GBP1,1,89051505,89072769
LNX2,13,27545911,27621344
FRRS1L,9,109130293,109167249
EXD1,15,41182725,41230757
STAT6,12,57095404,57132139
ZNF776,19,57746815,57758148
KCNJ14,19,48455574,48466980
SCGB1D1,11,62190216,62193539
RBFOX2,22,35738736,36028824
TPP1,11,6612768,6619448
YWHAH,22,31944522,31957603
MARCOL,5,148221650,148243580
PRMT3,11,20387549,20509350
OR2L3,1,248046836,248063407
DEFB113,6,49968677,49969625
DSN1,20,36751791,36774298
SLC9A2,2,102619553,102711355
GASK1B,4,158124474,158174249
SCGB1C1,11,193078,194575
GBP6,1,89363895,89388160
UGP2,2,63840950,63891590
UQCRC1,3,48599002,48610976
NEDD1,12,96907224,96953780
ADAMTSL2,9,133532164,133575522
MAMDC4,9,136850943,136860802
NPS,10,127549309,127553540
PNPLA6,19,7534004,7561764
KRT16,17,41609778,41615899
FBXO46,19,45710624,45730919
NOL9,1,6521347,6554536
CCDC107,9,35658290,35661511
RNF115,1,145738868,145824095
SIGLEC12,19,51491227,51501800
NELL1,11,20669551,21577711
EPPIN,20,45540626,45547752
FAM149A,4,186104419,186175337
RAB36,22,23145366,23165663
SCRG1,4,173384701,173410218
ZKSCAN1,7,100015570,100041689
POT1,7,124822386,124929959
DEAF1,11,644224,707118
TAAR8,6,132552672,132553756
TRAPPC10,21,44012309,44106553
ZNF843,16,31432593,31444323
TOMM40,19,44890569,44903695
PTGES3,12,56663338,56688408
SELP,1,169588421,169630193
DNTTIP1,20,45791946,45811427
CCDC198,14,57469300,57493872
BUB1B-PAK6,15,40218500,40264890
GLCE,15,69160584,69272217
RANGRF,17,8288631,8290092
HERC4,10,67921899,68075342
ILKAP,2,238170400,238203756
HAUS7,X,153447655,153495516
MMP21,10,125753580,125775913
SLC25A43,X,119399336,119454478
MRRF,9,122264603,122331337
MEX3D,19,1554672,1568325
HEATR1,1,236549005,236604516
DACT1,14,58633967,58648321
TUFT1,1,151540305,151583583
SLC30A1,1,211571568,211579161
HTR1E,6,86936662,87017155
GMFB,14,54474466,54489077
NFKBIL1,6,31546870,31558829
POLM,7,44070915,44082530
CYP27B1,12,57762334,57768986
MYO15A,17,18108756,18179802
C11orf24,11,68261335,68272001
PODN,1,53061293,53093681
PSMC1,14,90256527,90275429
IGF1,12,102395874,102481744
TBCCD1,3,186546067,186570543
H3C11,6,27871845,27872346
KRTAP2-1,17,41046541,41047316
VAV2,9,133761892,133992854
KHNYN,14,24423052,24441843
OPTN,10,13099449,13140320
ADAMTS16,5,5140329,5320304
CCDC185,1,223393415,223395465
LBR,1,225400900,225428925
HLA-DPA1,6,33064569,33080781
DPH2,1,43969978,43973373
BMP4,14,53949736,53958761
HNF4A,20,44355699,44432845
VPS13B,8,99013266,99877580
NUP160,11,47778087,47848557
AIFM3,22,20965108,20981364
KHDRBS2,6,61630234,62286225
PDILT,16,20359175,20404737
PRKD3,2,37250502,37324833
OR10G9,11,124023013,124023948
PLSCR3,17,7389727,7397054
IMPDH2,3,49024321,49029452
AP4E1,15,50908672,51005895
RPS6KA3,X,20149911,20267519
NUTM2D,10,87357720,87370695
CISD2,4,102868971,102892807
TSEN2,3,12480529,12541549
C9orf78,9,129827194,129835863
KLHL25,15,85759326,85794948
SLC5A1,22,32043050,32113029
BOLL,2,197726879,197786762
ACBD7,10,15075475,15088776
ASAH1,8,18055992,18084998
TMED7,5,115613210,115634830
KRTAP20-1,21,30616425,30616699
CIR1,2,174348022,174395712
ERI1,8,9002147,9116746
ZNF816,19,52949377,52962911
TMEM30B,14,61277370,61281761
CAMK1G,1,209583714,209613939
PGR,11,101029624,101129813
KLRC4,12,10403059,10409757
UQCC1,20,35302566,35412070
COX14,12,50112082,50120457
TBL1Y,Y,6910686,7101970
SHH,7,155799980,155812463
CLRN1,3,150926163,150972727
COX6C,8,99873200,99893759
BIN3,8,22620418,22669148
ZC2HC1A,8,78666050,78719765
LYPD4,19,41837074,41844697
OCRL,X,129539849,129592561
SPANXB1,X,141002594,141003706
SBK1,16,28259246,28323849
FAM161B,14,73931501,73950414
RAPGEF4,2,172735274,173052893
TUBGCP4,15,43369221,43409771
GPSM3,6,32190766,32195523
BICD2,9,92711363,92764833
TCHHL1,1,152084141,152089064
USP32,17,60177327,60422470
PIK3AP1,10,96593043,96720534
RAB2B,14,21459020,21476960
NPPA,1,11845709,11848345
SLC47A1,17,19495385,19579034
TPT1,13,45333471,45341284
PRSS38,1,227815675,227846470
RPL41,12,56116590,56117967
EIF4E2,2,232550659,232583644
SLC5A2,16,31483002,31490860
RDH14,2,18554723,18560679
DTX3,12,57604484,57609804
CXCL6,4,73836640,73849064
SMAD3,15,67063763,67195173
CPVL,7,28994636,29195451
MAP4,3,47850678,48089295
STYX,14,52730043,52774989
ATXN7L1,7,105604772,105876599
GSTA3,6,52896639,52909701
ARAF,X,47561182,47571921
C2orf74,2,61145068,61164828
KDM4A,1,43649256,43705518
ASIC1,12,50057548,50083621
ANKRD66,6,46746933,46759506
TLK2,17,62458658,62615481
MAGEE1,X,76427710,76431342
HELQ,4,83407343,83455855
RXRA,9,134317098,134440585
LARP4,12,50392383,50480007
FCRL1,1,157792249,157820183
RPTOR,17,80544819,80966371
DGKD,2,233354484,233472104
SPECC1L,22,24270817,24417740
RUSC2,9,35489712,35561898
ARHGAP40,20,38601775,38651035
HMGB3,X,150980509,150990775
ZNF766,19,52269587,52296046
SPRED3,19,38388421,38399588
PLRG1,4,154535005,154550403
RSPH9,6,43644229,43672604
MT1E,16,56625475,56627112
AGAP4,10,45825594,45853875
ALDH3A1,17,19737984,19748943
C12orf75,12,105235290,105396097
METAP2,12,95473520,95515839
HMGXB4,22,35257452,35295807
ERAP2,5,96875986,96919703
METTL16,17,2405562,2511891
UBE2Q1,1,154548550,154559028
MFSD12,19,3538261,3574290
MMGT1,X,135960588,135974029
RBAK-RBAKDN,7,4983718,5073221
METTL3,14,21498128,21511362
MORN2,2,38875976,38882709
MOB4,2,197515571,197553699
C12orf57,12,6942938,6946003
AP2S1,19,46838136,46850882
TMEM205,19,11342776,11346518
DNAJC1,10,21756538,22003769
TXN,9,110243810,110256604
HES3,1,6244179,6245578
BCAP31,X,153698006,153725957
FIZ1,19,55591371,55606194
LCE3A,1,152622834,152623103
EDC4,16,67873049,67884516
AZIN2,1,33081104,33123492
RFPL1,22,29438583,29442455
COQ5,12,120503279,120534434
CEACAM19,19,44662278,44684360
RNFT1,17,59952240,59964761
SLC25A41,19,6426037,6433779
DCAF1,3,51395867,51500088
UBE2G2,21,44768580,44801826
RANBP17,5,170861870,171300015
HOXC5,12,54033050,54035361
ELP4,11,31509755,31790324
TEX48,9,114666434,114682192
CCZ1B,7,6794134,6826770
SLC13A4,7,135681231,135729258
SERINC4,15,43794162,43800220
CRLF2,Y,1190490,1212723
IRF7,11,612551,615983
HHIP,4,144646156,144745271
RHOXF2,X,120158613,120165630
ZNF296,19,45071500,45076478
GSTM1,1,109687340,109709039
TEX2,17,64147227,64263291
INSR,19,7112255,7294414
FXYD7,19,35143148,35154302
OR51B4,11,5301014,5301946
CARD18,11,105137714,105531697
SPRY2,13,80335518,80342983
NXF5,X,101832537,101843278
WFDC12,20,45123425,45124465
IRF2,4,184385702,184474558
MLLT6,17,38705273,38729795
SLURP2,8,142764338,142769828
UBE2U,1,64203623,64267368
AGXT,2,240868543,240881531
SLC25A23,19,6436079,6465203
SCRN2,17,47837683,47842125
CD163,12,7470811,7503910
SPN,16,29662979,29670876
FANCF,11,22622533,22625823
HNF1B,17,37686431,37745091
HMOX2,16,4474246,4510352
TAS2R60,7,143443453,143444409
SURF1,9,133351758,133356676
FOXF2,6,1389576,1395603
OXSR1,3,38165089,38255484
GNB1L,22,19783223,19854939
GABPB1,15,50275389,50355440
EIF3A,10,119033670,119080835
OTOS,2,240139026,240144562
NHLRC1,6,18120440,18122677
CLDN19,1,42733093,42740254
OR11G2,14,20190896,20201075
KNSTRN,15,40382721,40394288
SDCBP2,20,1309909,1329211
ST3GAL2,16,70375977,70439263
SEPTIN7,7,35800932,35907110
IL17RA,22,17084934,17115693
POU5F2,5,93733220,93741600
GLTP,12,109850943,109880541
NR1D2,3,23945286,23980637
ALDH8A1,6,134917298,134950129
RAP2A,13,97434169,97469128
RAB9B,X,103822327,103835153
CREB3L3,19,4153621,4173057
SEC16A,9,136440096,136483843
LOXL3,2,74532258,74555718
ZNFX1,20,49237946,49278426
CTSD,11,1752752,1764573
KLHL41,2,169509687,169526262
PTGS1,9,122370530,122395705
IDS,X,149476988,149521096
SH3YL1,2,217730,266398
RMDN3,15,40733696,40755851
TAS2R7,12,10801532,10802627
CACNG3,16,24256286,24362412
ALOX15,17,4630919,4642294
RSAD2,2,6865557,6898239
IQCK,16,19716456,19858467
SOX15,17,7588178,7590094
TLDC2,20,36873061,36894237
CFAP47,X,35919734,36385317
RTP2,3,187698259,187702656
ZNF835,19,56661980,56671783
SHLD1,20,5750372,5864395
PRKCI,3,170222124,170305978
DCAF11,14,24114010,24125614
PLD5,1,242082986,242524697
STK10,5,172042079,172188332
CDX4,X,73447053,73455171
COA1,7,43608456,43729857
TXNDC5,6,7881440,7911011
VCPIP1,8,66628487,66667231
ARHGAP25,2,68679601,68826833
CLMP,11,123069853,123196697
INAFM1,19,47274373,47277755
ACTG1,17,81509413,81523847
VTA1,6,142147162,142224685
CD4,12,6786858,6820807
DUSP16,12,12473282,12563147
COL6A2,21,46096722,46132851
MUC22,6,31010474,31035402
NTF4,19,49061066,49065076
GUCA1C,3,108907792,108953879
POU6F1,12,51186936,51218062
ARHGAP12,10,31805398,31928876
PSMB7,9,124352999,124415476
ACKR2,3,42804586,42887974
RANBP3,19,5916139,5978144
HNRNPUL1,19,41262496,41307787
RPS27A,2,55229447,55236044
F8A1,X,154886355,154888061
MSANTD2,11,124766498,124800706
PLCG1,20,41136931,41196801
SLAIN2,4,48341472,48426201
RALGPS2,1,178725165,178921842
ACSL6,5,131949973,132012243
MGAT4B,5,179797597,179806979
RETREG1,5,16473038,16617101
GLIPR1L2,12,75391089,75432688
PCNT,21,46324124,46445769
MTAP,9,21802636,21937651
FRY,13,31846713,32299125
POMT1,9,131502789,131523806
SFRP4,7,37905932,38025695
C9orf163,9,136483495,136486067
NPR1,1,153677965,153694110
RAB5IF,20,36605779,36612557
CEMIP,15,80779343,80951776
UBE2L5,13,30422488,30429758
MDM4,1,204516369,204558120
MAJIN,11,64937517,64972108
RING1,6,33208491,33212722
DNAJC6,1,65248219,65415871
ZSCAN9,6,28224886,28233487
CLDN5,22,19523024,19527545
NEK11,3,131026850,131353043
ADH1B,4,99304971,99321659
PPAT,4,56393362,56435616
IDO1,8,39902275,39928790
ANKH,5,14704800,14871877
CCDC190,1,162824458,162868957
BDH2,4,103077592,103099880
SDHAF3,7,97117698,97181763
ZBTB49,4,4290238,4321786
C4A,6,31981991,32004877
NAT10,11,34105608,34147670
KCNH5,14,62699464,63102037
SCRN1,7,29920104,29990289
SEMA7A,15,74409289,74433958
PLXNA4,7,132123340,132648688
LPP,3,188152994,188890671
SEC31B,10,100486639,100519864
TNFRSF21,6,47231532,47309947
MCTS1,X,120594010,120621159
KCTD3,1,215567022,215623007
MYH4,17,10443290,10469559
PTCH2,1,44819154,44843253
GFRA3,5,138252380,138274621
LITAF,16,11546875,11636395
C1orf43,1,154206668,154220681
EPHB4,7,100802563,100827555
KDSR,18,63327566,63367615
FAM25G,10,47487219,47491700
DEFB116,20,31303212,31308585
SIX3,2,44941702,44946071
MVP,16,29820394,29848039
RGS17,6,153004459,153131282
NPR2,9,35791003,35809732
TCP11L1,11,33039417,33105943
MAGEC2,X,142202342,142205290
FANCD2OS,3,10081317,10108255
YLPM1,14,74763316,74859435
PTHLH,12,27958084,27972755
UBE2D3,4,102793516,102869287
ZER1,9,128729785,128772414
PRUNE1,1,151008420,151035713
PVALB,22,36800682,36819479
CCT2,12,69585423,69601577
ST8SIA2,15,92393881,92468728
DENND2A,7,140518418,140673993
H3-3A,1,226061571,226073206
CCT6A,7,56051685,56063991
ZBTB22,6,33314406,33318021
DHRS4,14,23953713,23969279
TSEN15,1,184051651,184123978
ARHGEF4,2,130836914,131047263
TNFRSF1A,12,6328757,6342114
BEST4,1,44781836,44791550
SLC36A4,11,93144174,93197991
GGT5,22,24218000,24245748
COPRS,17,31851871,31859291
SCAI,9,124942608,125143528
GNA15,19,3136033,3163749
TTC34,1,2636986,2801693
ARL17B,17,46274184,46361766
SDHA,5,218274,257083
EIF5,14,103333544,103345025
COL6A5,3,130345516,130484846
MRPS5,2,95085369,95122006
YME1L1,10,27110088,27155266
SPATS2,12,49366240,49528438
H3C7,6,26250142,26250635
SELL,1,169690665,169712202
FAM78A,9,131258076,131277365
CHM,X,85861180,86047561
ZSCAN5A,19,56219670,56368383
NPIPB5,16,22479121,22536540
CCDC142,2,74471986,74483408
NOTCH2NLB,1,148597331,148679746
ASNS,7,97851677,97872542
WNT6,2,218859805,218874233
MRGPRF,11,69004376,69014407
HBG2,11,5253188,5505605
ZNF470,19,56567468,56588911
CCAR2,8,22604629,22620964
MYBPC2,19,50432805,50466328
ENPP3,6,131628292,131747418
PCBP3,21,45643694,45942454
NPEPPS,17,47522942,47624665
RAB31,18,9708246,9862551
NDUFB9,8,124539101,124580648
SMARCE1,17,40624962,40648654
CLEC1A,12,10069554,10111627
ZIC1,3,147393422,147510293
ATP6V0D1,16,67438005,67481188
RNASE12,14,20590073,20591376
FBXW8,12,116910839,117032498
ZBTB8B,1,32465050,32496686
CMTM6,3,32474175,32502852
OR14K1,1,247738615,247739559
BUD13,11,116748170,116773039
MAGEA4,X,151912495,151925173
MICOS10,1,19484403,19629821
DEPDC1B,5,60596912,60700194
ZNF180,19,44470957,44500540
C1orf146,1,92217915,92245813
BBS12,4,122732702,122744942
ZNF396,18,35366694,35381746
S100A14,1,153614255,153616996
POLR2I,19,36113709,36115213
DALRD3,3,49015488,49022293
PMEL,12,55954104,55973317
TBX18,6,84687351,84764598
ANKRD35,1,145866560,145886088
GPR137B,1,236142148,236221865
KLHL12,1,202891096,202928636
PARPBP,12,102120122,102197531
WDR4,21,42843013,42879582
KRTAP4-8,17,41096981,41098142
EDNRB,13,77895481,77975529
TRIM33,1,114392781,114511244
PANK2,20,3888839,3929887
MTRR,5,7851186,7906025
TEAD4,12,2959330,3040676
DOP1B,21,36156758,36294275
LGALS2,22,37570248,37582616
SVIP,11,22813799,22830299
VEGFA,6,43770184,43786487
HHLA1,8,132061480,132111159
EAF1,3,15427598,15450635
TMED2,12,123584526,123598582
ADGRL1,19,14147743,14206204
PCDHGA11,5,141421047,141512975
SLC35E4,22,30635781,30669016
FGF17,8,22042398,22048809
PTCD3,2,86106223,86142157
ADGRF3,2,26308173,26346817
CENPO,2,24793111,24822376
OR4S1,11,48306223,48307152
ADSS2,1,244408494,244451909
WFDC10A,20,45629739,45631196
MCFD2,2,46901870,46941855
INPP1,2,190340590,190371665
INO80C,18,35452230,35497979
SLC5A5,19,17871945,17895174
CXCR3,X,71615916,71618511
EPS8,12,15620134,15882330
NEPRO,3,113002444,113019861
TYRP1,9,12685439,12710285
OR5J2,11,56176618,56177556
ARHGAP44,17,12789498,12991643
LPL,8,19901717,19967267
CHRNE,17,4897771,4934438
SNRNP48,6,7590189,7611967
PCSK6,15,101289784,101525202
TRPA1,8,72019608,72089998
YTHDF3,8,63168553,63212786
NDRG2,14,21016763,21071094
FAM199X,X,104166453,104195902
C1orf159,1,1081811,1116361
EPX,17,58192726,58205174
NXF2B,X,102360395,102440008
ADAMTS8,11,130404923,130428609
REG1B,2,79085023,79088019
EARS2,16,23520754,23557731
SELENON,1,25800193,25818221
IL23A,12,56334174,56340410
C1orf232,1,26164101,26168963
CPLX1,4,784957,827043
ZPR1,11,116773799,116788046
FTCD,21,46136083,46155581
NUDT8,11,67627937,67629937
ZNF317,19,9140380,9163424
KIRREL3,11,126423358,127003460
OGFOD3,17,82389210,82418637
TMX2,11,57712562,57742987
VPS25,17,42773449,42779599
NAT8B,2,73700622,73701305
INS-IGF2,11,2132538,2161209
CD48,1,160678746,160711831
ANKS6,9,98731329,98796965
SSMEM1,7,130206344,130216844
PLA1A,3,119597808,119629816
C1orf115,1,220690363,220699153
GATB,4,151670458,151761028
ADAMTS14,10,70672367,70762441
RPS27L,15,63125872,63158021
NUDT4B,1,148748774,148752415
SEMA3A,7,83955777,84492939
TRPM5,11,2404515,2444514
ABRACL,6,139027494,139043742
CASP4,11,104942866,104969366
ECM2,9,92493554,92536736
TLCD5,11,120325180,120333686
TDO2,4,155854738,155920414
COPZ2,17,48026142,48038030
CCNY,10,35247025,35572669
SNX31,8,100572882,100663415
KHDRBS3,8,135457456,135656722
CEND1,11,787115,790113
CLYBL,13,99606641,99909459
ZC3H12D,6,149446795,149485014
KLRF2,12,9881489,9895833
NPPC,2,231921809,231926396
CISD3,17,38730318,38735605
TPR,1,186311652,186375693
SLC25A10,17,81711951,81721969
ANGEL2,1,212992182,213015867
MGAM,7,141907813,142106747
FCGR3A,1,161541759,161550968
DAG1,3,49468649,49535619
APOH,17,66211595,66256525
AKAP3,12,4613383,4649072
GLMN,1,92245788,92299009
RBM19,12,113816738,113966344
FGF7,15,49423170,49488775
AMELX,X,11293413,11300761
ASPHD2,22,26428729,26445015
ECHDC1,6,127288712,127343609
SLC36A3,5,151276358,151303766
POLG,15,89305198,89334861
ASMTL,Y,1403138,1453786
TMEM230,20,5068232,5113452
RAB32,6,146543825,146554964
TRIM44,11,35662537,35818007
CD1A,1,158254424,158258269
THAP7,22,20999104,21002196
GFI1,1,92472360,92486925
TTC39B,9,15163622,15307360
SBNO2,19,1107636,1174295
LDLRAD2,1,21812265,21825225
MSANTD4,11,105995623,106022410
CACNG5,17,66835117,66894751
VPS11,11,119067789,119082753
DELE1,5,141923819,141946919
DCDC1,11,30830369,31369810
UQCC2,6,33690635,33711727
LTF,3,46435645,46485234
ANXA3,4,78551621,78610493
